key,app_date,app_type,app_status,lat,long
319,6/13/13,RES SINGLE FAMILY DWELLING,APPROVED,45.6765,-111.096209
320,6/13/13,RES SINGLE FAMILY DWELLING,APPROVED,45.676231,-111.096145
321,12/20/13,"COMM OFFICES, BANKS, PROF.BLDGS",APPROVED,45.700449,-111.088774
322,6/13/13,RES SINGLE FAMILY DWELLING,APPROVED,45.67614,-111.096504
323,9/11/03,RES ALTERATION,APPROVED,45.675366,-111.034577
324,6/13/13,RES SINGLE FAMILY DWELLING,APPROVED,45.675961,-111.096054
325,6/12/13,COMM TENANT IMPROVEMENT,APPROVED,45.679594,-111.039446
326,6/10/13,RES SINGLE FAMILY DWELLING,APPROVED,45.684416,-111.102644
327,4/14/03,RES GARAGES & CARPORTS,APPROVED,45.673113,-111.042549
328,12/20/13,COMM TENANT IMPROVEMENT,APPROVED,45.684639,-111.024386
329,6/10/13,RES SINGLE FAMILY DWELLING,APPROVED,45.642133,-111.074734
330,6/6/13,COMM TENANT IMPROVEMENT,APPROVED,45.707135,-111.044913
331,4/2/14,SIGN PERMIT,APPROVED,45.68004,-111.049937
332,6/5/13,RES SINGLE FAMILY DWELLING,APPROVED,45.688941,-111.069043
333,4/2/14,ELECTRIC ONLY,APPROVED,45.653761,-111.041418
334,6/5/13,COMM TENANT IMPROVEMENT,APPROVED,45.678067,-111.031715
335,12/20/13,COMM TENANT IMPROVEMENT,APPROVED,45.678964,-111.039343
336,6/3/13,MECHANICAL ONLY,APPROVED,45.689994,-111.104811
337,12/19/13,SIGN PERMIT,APPROVED,45.679778,-111.02649
338,2/25/14,RES ALTERATION,APPROVED,45.682566,-111.035506
339,6/2/13,RES SINGLE FAMILY DWELLING,APPROVED,45.681036,-111.033695
340,12/19/13,COMM TENANT IMPROVEMENT,APPROVED,45.678777,-111.057576
341,12/17/13,ELECTRIC ONLY,APPROVED,45.714252,-111.025067
342,5/31/13,RES SINGLE FAMILY DWELLING,APPROVED,45.690997,-111.090442
343,12/17/13,ELECTRIC ONLY,APPROVED,45.712631,-111.02806
344,5/31/13,RES SINGLE FAMILY DWELLING,APPROVED,45.684417,-111.101013
345,3/26/14,COMM TENANT IMPROVEMENT,APPROVED,45.678879,-111.023061
346,12/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.64736,-111.064833
347,12/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.64736,-111.065154
348,4/16/03,COMM ALTERATION,APPROVED,45.665459,-111.049424
349,3/14/14,SIGN PERMIT,APPROVED,45.680672,-111.046612
350,2/25/14,RES ALTERATION,APPROVED,45.676625,-111.03843
351,3/26/14,SEWER ONLY PERMIT,APPROVED,45.676444,-111.039791
352,12/13/13,ELECTRIC ONLY,APPROVED,45.683336,-111.101602
353,12/13/13,COMM TENANT IMPROVEMENT,APPROVED,45.678864,-111.063124
354,5/31/13,RES SINGLE FAMILY DWELLING,APPROVED,45.675678,-111.110242
355,12/12/13,RES SINGLE FAMILY DWELLING,APPROVED,45.706242,-111.019167
356,12/11/13,MECHANICAL ONLY,APPROVED,45.685807,-111.033286
